0.918594,
-0.916890,
0.831128,
-0.025697,
0.940855,
-0.917167,
0.835126,
-0.032629,
0.924825,
-0.934527,
0.817734,
-0.046308,
0.906310,
-0.955943,
0.798783,
-0.066054,
0.889030,
-0.974442,
0.776222,
-0.085660,
0.874279,
-0.991867,
0.752521,
-0.108179,
0.860175,
-1.008279,
0.733126,
-0.119855,
0.844074,
-1.026633,
0.711114,
-0.134937,
0.828852,
-1.046194,
0.688515,
-0.148149,
0.815207,
-1.061366,
0.669676,
-0.158393,
0.806803,
-1.070617,
0.658335,
-0.156313,
0.793547,
-1.086415,
0.640753,
-0.158377,
0.803414,
-1.075454,
0.649093,
-0.145473,
0.809770,
-1.066054,
0.655360,
-0.135912,
0.816597,
-1.059083,
0.659470,
-0.126132,
0.825704,
-1.052177,
0.665861,
-0.113257,
0.832921,
-1.047937,
0.670040,
-0.106402,
0.843813,
-1.042807,
0.675973,
-0.096320,
0.855602,
-1.038453,
0.683280,
-0.085095,
0.865912,
-1.035317,
0.688712,
-0.076938,
0.873627,
-1.035856,
0.691717,
-0.072113,
0.878196,
-1.038857,
0.693285,
-0.069134,
0.883137,
-1.041831,
0.693778,
-0.068514,
0.883323,
-1.047985,
0.687118,
-0.070048,
0.882875,
-1.054154,
0.680003,
-0.069775,
0.878052,
-1.064702,
0.671662,
-0.073057,
0.872433,
-1.075648,
0.662811,
-0.076404,
0.870364,
-1.086095,
0.655841,
-0.077501,
0.865331,
-1.098212,
0.643868,
-0.079856,
0.857337,
-1.112316,
0.628212,
-0.084914,
0.846579,
-1.127846,
0.612571,
-0.092108,
0.834138,
-1.145270,
0.595006,
-0.101088,
0.824187,
-1.160461,
0.579960,
-0.108184,
0.809276,
-1.179526,
0.563140,
-0.120082,
0.793875,
-1.198476,
0.543822,
-0.131651,
0.778070,
-1.217318,
0.524735,
-0.143492,
0.764921,
-1.234590,
0.508949,
-0.152965,
0.756894,
-1.247053,
0.498208,
-0.158468,
0.738701,
-1.262469,
0.479775,
-0.166459,
0.744766,
-1.258521,
0.484525,
-0.159039,
0.755827,
-1.250817,
0.491269,
-0.146415,
0.758103,
-1.240786,
0.499765,
-0.133055,
0.761057,
-1.230911,
0.505064,
-0.117455,
0.750786,
-1.233357,
0.493831,
-0.113343,
0.729156,
-1.251109,
0.471411,
-0.127419,
0.717055,
-1.262706,
0.469708,
-0.130014,
0.708248,
-1.272317,
0.468080,
-0.132794,
0.697044,
-1.281679,
0.471738,
-0.136399,
0.685088,
-1.292083,
0.476189,
-0.140942,
0.676738,
-1.300809,
0.481347,
-0.143628,
0.668696,
-1.308160,
0.485872,
-0.147137,
0.660591,
-1.314640,
0.489549,
-0.152340,
0.657717,
-1.317456,
0.496056,
-0.152759,
0.656317,
-1.319234,
0.504826,
-0.152913,
0.657155,
-1.319229,
0.517830,
-0.149051,
0.653983,
-1.324646,
0.525958,
-0.153982,
0.635605,
-1.341843,
0.520208,
-0.172622,
0.621325,
-1.355126,
0.515879,
-0.187016,
0.618210,
-1.362632,
0.514874,
-0.191692,
0.616260,
-1.368214,
0.512495,
-0.195964,
0.613538,
-1.372671,
0.510042,
-0.197333,
0.617310,
-1.369827,
0.511457,
-0.191127,
0.622375,
-1.366103,
0.512924,
-0.184828,
0.635130,
-1.357255,
0.517473,
-0.174772,
0.644696,
-1.350633,
0.519703,
-0.172209,
0.655957,
-1.343350,
0.520878,
-0.169716,
0.665440,
-1.338392,
0.517637,
-0.168769,
0.669126,
-1.334770,
0.518784,
-0.174634,
0.666505,
-1.337783,
0.512120,
-0.183287,
0.662870,
-1.340876,
0.505553,
-0.190156,
0.659969,
-1.342511,
0.502929,
-0.195414,
0.659616,
-1.341896,
0.496394,
-0.191503,
0.650517,
-1.351333,
0.476397,
-0.198066,
0.644004,
-1.359462,
0.456174,
-0.204958,
0.647483,
-1.358346,
0.445885,
-0.204103,
0.652844,
-1.354779,
0.436442,
-0.200684,
0.663832,
-1.348858,
0.436855,
-0.195134,
0.678822,
-1.338987,
0.439298,
-0.185962,
0.670815,
-1.354178,
0.424481,
-0.196539,
0.661656,
-1.362980,
0.418480,
-0.205458,
0.645472,
-1.379798,
0.421172,
-0.218879,
0.629262,
-1.396566,
0.422772,
-0.231552,
0.614246,
-1.412093,
0.423420,
-0.243700,
0.594486,
-1.430709,
0.418578,
-0.257874,
0.582597,
-1.444284,
0.417371,
-0.265140,
0.574980,
-1.452896,
0.419340,
-0.268126,
0.561544,
-1.465204,
0.419391,
-0.280590,
0.555608,
-1.472929,
0.422738,
-0.284063,
0.550363,
-1.478941,
0.427149,
-0.287010,
0.547757,
-1.483405,
0.431638,
-0.288073,
0.552478,
-1.485127,
0.437904,
-0.283212,
0.559047,
-1.485589,
0.444480,
-0.276777,
0.563927,
-1.490813,
0.446408,
-0.271144,
0.566956,
-1.496116,
0.448030,
-0.261172,
0.571982,
-1.498050,
0.455507,
-0.246862,
0.581233,
-1.497780,
0.463034,
-0.228080,
0.586105,
-1.499348,
0.468645,
-0.212876,
0.585919,
-1.504959,
0.467720,
-0.201075,
0.584833,
-1.510858,
0.465259,
-0.192204,
