-0.0020,0.0225,-0.0065,-0.0155,-0.0905,-0.0030,0.0140,0.0090,0.0155,-0.0665,0.1390,
-0.0080,0.0265,0.0045,-0.0150,-0.0835,-0.0075,0.0150,0.0385,0.0035,-0.0720,0.1165,
-0.0035,0.0120,-0.0005,0.0050,-0.0700,0.0000,0.0080,0.0465,0.0080,-0.0655,0.1275,
-0.0155,0.0155,-0.0160,-0.0135,-0.1040,0.0095,0.0215,0.0120,0.0260,-0.0705,0.1305,
0.0025,0.0005,-0.0015,-0.0065,-0.0780,-0.0065,0.0120,0.0100,0.0185,-0.0625,0.1290,
-0.0075,0.0090,0.0100,-0.0090,-0.0745,0.0015,0.0090,0.0090,0.0085,-0.0645,0.1205,
0.0010,0.0065,0.0035,0.0090,-0.0825,-0.0035,-0.0065,0.0200,0.0110,-0.0635,0.1240,
-0.0010,0.0220,-0.0005,-0.0145,-0.0780,0.0125,0.0085,0.0145,0.0080,-0.0770,0.1065,
0.0015,0.0115,-0.0010,0.0005,-0.0765,0.0010,0.0115,0.0125,-0.0090,-0.0740,0.1165,
0.0195,0.0010,-0.0050,-0.0185,-0.0825,-0.0005,0.0075,0.0175,-0.0070,-0.0640,0.1085,
0.0140,-0.0080,0.0005,-0.0110,-0.0745,-0.0095,0.0250,0.0055,-0.0040,-0.0620,0.1080,
0.0090,0.0280,0.0060,-0.0090,-0.0845,-0.0190,0.0115,0.0220,0.0085,-0.0620,0.1065,
-0.0180,0.0305,0.0085,-0.0085,-0.0765,0.0000,0.0155,0.0185,0.0015,-0.0795,0.1250,
-0.0030,-0.0100,0.0090,-0.0365,-0.0955,0.0055,0.0075,0.0155,0.0245,-0.0560,0.1115,
0.0040,0.0095,0.0020,-0.0260,-0.0925,-0.0015,0.0290,-0.0065,0.0180,-0.0780,0.1260,
0.0170,0.0075,-0.0110,-0.0165,-0.0640,0.0020,-0.0005,0.0275,0.0250,-0.0605,0.1235,
-0.0060,0.0200,-0.0040,-0.0030,-0.0880,-0.0010,0.0190,0.0220,0.0240,-0.0645,0.1145,
0.0065,0.0210,0.0020,-0.0275,-0.0905,0.0070,0.0200,0.0100,0.0165,-0.0685,0.1160,
0.0105,0.0105,0.0080,-0.0090,-0.0950,-0.0015,0.0210,0.0060,0.0105,-0.0640,0.1160,
-0.0175,0.0060,0.0035,-0.0040,-0.0855,0.0080,-0.0040,0.0180,0.0050,-0.0615,0.1385,
-0.0040,0.0120,-0.0105,-0.0180,-0.1035,0.0035,0.0055,0.0080,0.0160,-0.0790,0.1195,
-0.0050,-0.0025,-0.0020,-0.0115,-0.0790,-0.0030,0.0235,0.0150,-0.0050,-0.0830,0.1080,
0.0160,0.0130,-0.0105,-0.0025,-0.0815,0.0065,0.0265,0.0065,0.0185,-0.0600,0.1170,
-0.0010,0.0080,-0.0035,-0.0005,-0.0690,0.0075,0.0130,-0.0120,0.0190,-0.0835,0.1445,
-0.0105,0.0085,0.0040,-0.0100,-0.0750,-0.0065,0.0230,0.0030,0.0105,-0.0775,0.1145,
0.0230,0.0095,0.0190,-0.0145,-0.0685,-0.0130,0.0210,0.0125,0.0105,-0.0635,0.1205,
-0.0030,0.0195,0.0055,-0.0080,-0.0895,0.0110,-0.0075,0.0150,0.0125,-0.0750,0.1350,
0.0065,0.0010,0.0015,-0.0220,-0.0965,0.0095,0.0165,0.0205,0.0215,-0.0790,0.1085,
0.0020,0.0065,0.0080,-0.0265,-0.0815,0.0075,0.0060,-0.0005,0.0150,-0.0675,0.1080,
-0.0010,-0.0065,0.0000,-0.0110,-0.1005,0.0080,0.0125,0.0145,0.0180,-0.0335,0.1125,
0.0020,0.0175,0.0030,-0.0275,-0.0880,0.0000,0.0120,0.0110,0.0245,-0.0650,0.1185,
-0.0030,0.0140,-0.0010,-0.0115,-0.0795,0.0095,0.0100,0.0080,0.0020,-0.0675,0.1140,
-0.0055,0.0230,0.0055,-0.0055,-0.0830,0.0005,0.0260,0.0170,-0.0005,-0.0700,0.1200,
