0.3414, 0.2643, -0.1505, -0.1368, -0.3178
0.3404, 0.2633, -0.1495, -0.1358, -0.3188
0.3394, 0.2623, -0.1486, -0.1349, -0.3197
0.3384, 0.2614, -0.1476, -0.1339, -0.3207
0.3375, 0.2604, -0.1467, -0.1330, -0.3216
0.3365, 0.2594, -0.1458, -0.1320, -0.3226
0.3356, 0.2585, -0.1449, -0.1311, -0.3234
0.3347, 0.2576, -0.1440, -0.1302, -0.3243
0.3338, 0.2566, -0.1432, -0.1292, -0.3251
0.3329, 0.2557, -0.1425, -0.1283, -0.3260
0.3321, 0.2548, -0.1419, -0.1274, -0.3269
0.3312, 0.2538, -0.1414, -0.1264, -0.3279
0.3303, 0.2528, -0.1411, -0.1255, -0.3288
0.3294, 0.2519, -0.1409, -0.1245, -0.3298
0.3285, 0.2510, -0.1409, -0.1236, -0.3306
0.3277, 0.2500, -0.1411, -0.1226, -0.3315
0.3268, 0.2491, -0.1414, -0.1217, -0.3323
0.3260, 0.2482, -0.1419, -0.1207, -0.3331
0.3252, 0.2473, -0.1424, -0.1198, -0.3338
0.3244, 0.2464, -0.1430, -0.1189, -0.3346
0.3236, 0.2455, -0.1436, -0.1179, -0.3353
0.3229, 0.2446, -0.1443, -0.1171, -0.3360
0.3222, 0.2438, -0.1451, -0.1162, -0.3367
0.3215, 0.2429, -0.1459, -0.1152, -0.3374
0.3208, 0.2421, -0.1468, -0.1143, -0.3381
0.3202, 0.2413, -0.1477, -0.1135, -0.3387
0.3196, 0.2405, -0.1487, -0.1126, -0.3394
0.3190, 0.2397, -0.1498, -0.1117, -0.3399
0.3184, 0.2389, -0.1508, -0.1108, -0.3405
0.3179, 0.2381, -0.1519, -0.1100, -0.3410
0.3174, 0.2374, -0.1530, -0.1092, -0.3416
0.3169, 0.2367, -0.1542, -0.1083, -0.3421
0.3165, 0.2359, -0.1553, -0.1075, -0.3426
0.3161, 0.2352, -0.1565, -0.1066, -0.3430
0.3157, 0.2345, -0.1577, -0.1058, -0.3434
0.3153, 0.2338, -0.1590, -0.1050, -0.3438
0.3150, 0.2332, -0.1602, -0.1042, -0.3441
0.3148, 0.2326, -0.1615, -0.1034, -0.3444
0.3145, 0.2319, -0.1628, -0.1025, -0.3446
0.3143, 0.2313, -0.1641, -0.1017, -0.3449
0.3141, 0.2307, -0.1654, -0.1009, -0.3450
0.3141, 0.2301, -0.1668, -0.1001, -0.3450
0.3140, 0.2295, -0.1682, -0.0993, -0.3450
0.3140, 0.2290, -0.1695, -0.0984, -0.3450
0.3139, 0.2283, -0.1710, -0.0975, -0.3452
0.3138, 0.2277, -0.1724, -0.0966, -0.3453
0.3139, 0.2272, -0.1738, -0.0957, -0.3452
0.3140, 0.2267, -0.1752, -0.0948, -0.3450
0.3141, 0.2262, -0.1766, -0.0939, -0.3449
0.3142, 0.2256, -0.1780, -0.0930, -0.3449
0.3143, 0.2251, -0.1793, -0.0921, -0.3449
0.3144, 0.2247, -0.1806, -0.0912, -0.3449
