4.0893,1.4710,5.0629,5.7360,6.2749,4.4328,4.7713,5.0364,4.8146,4.3556,2.0470,
4.1032,1.4849,5.0484,5.7505,6.2600,4.4177,4.7573,5.0221,4.8002,4.3701,2.0324,
4.1142,1.4962,5.0362,5.7626,6.2472,4.4046,4.7459,5.0102,4.7878,4.3824,2.0200,
4.1234,1.5061,5.0252,5.7733,6.2356,4.3926,4.7360,4.9992,4.7764,4.3936,2.0088,
4.1314,1.5148,5.0150,5.7829,6.2248,4.3811,4.7271,4.9889,4.7654,4.4040,1.9983,
4.1384,1.5228,5.0053,5.7919,6.2145,4.3701,4.7190,4.9789,4.7547,4.4140,1.9882,
4.1445,1.5300,4.9961,5.8002,6.2046,4.3593,4.7117,4.9693,4.7444,4.4236,1.9785,
4.1499,1.5366,4.9871,5.8080,6.1950,4.3487,4.7050,4.9599,4.7341,4.4331,1.9689,
4.1547,1.5425,4.9784,5.8153,6.1857,4.3380,4.6989,4.9506,4.7238,4.4424,1.9595,
0.9849,0.7864,5.9478,3.8035,0.7450,4.8627,2.0462,3.8602,6.2419,2.5714,5.8442,
0.9751,0.7945,5.9402,3.8109,0.7527,4.8550,2.0370,3.8676,6.2344,2.5787,5.8369,
0.9671,0.8011,5.9338,3.8173,0.7595,4.8482,2.0287,3.8740,6.2281,2.5850,5.8306,
0.9600,0.8069,5.9278,3.8230,0.7656,4.8421,2.0210,3.8797,6.2223,2.5905,5.8249,
0.9535,0.8121,5.9221,3.8284,0.7713,4.8362,2.0136,3.8851,6.2170,2.5957,5.8196,
0.9472,0.8170,5.9165,3.8334,0.7767,4.8308,2.0063,3.8901,6.2119,2.6006,5.8146,
0.9398,0.8221,5.9109,3.8383,0.7821,4.8256,1.9985,3.8950,6.2071,2.6051,5.8097,
0.9331,0.8268,5.9054,3.8431,0.7871,4.8208,1.9906,3.8998,6.2023,2.6095,5.8049,
0.9258,0.8315,5.9000,3.8477,0.7921,4.8161,1.9826,3.9044,6.1977,2.6136,5.8002,
0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,
0.0178,0.0173,0.0175,0.0179,0.0173,0.0175,0.0173,0.0179,0.0178,0.0173,0.0172,
0.0244,0.0235,0.0241,0.0248,0.0235,0.0241,0.0235,0.0248,0.0246,0.0235,0.0234,
0.0305,0.0291,0.0300,0.0313,0.0292,0.0302,0.0291,0.0312,0.0308,0.0292,0.0290,
0.0361,0.0343,0.0356,0.0375,0.0345,0.0359,0.0344,0.0373,0.0367,0.0345,0.0342,
0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,
0.1771,0.1733,0.1749,0.1851,0.1743,0.1757,0.1734,0.1842,0.1831,0.1742,0.1747,
0.2422,0.2348,0.2389,0.2649,0.2375,0.2397,0.2350,0.2623,0.2596,0.2371,0.2405,
0.2992,0.2885,0.2945,0.3413,0.2926,0.2933,0.2888,0.3364,0.3325,0.2916,0.3022,
3.9188,1.6342,1.3514,3.4080,3.8988,2.4476,6.2015,4.4234,2.9709,3.3304,4.1936,
4.0026,1.5528,1.2559,3.3293,3.8041,2.5416,0.0059,4.3239,2.8761,3.4282,4.1189,
4.0814,1.4770,1.1586,3.2643,3.7088,2.6363,0.0885,4.2240,2.7816,3.5268,4.0539,
0.5322,0.4327,0.8223,1.2683,1.5415,1.9078,0.1069,0.9693,1.6982,0.1014,0.1883,
0.5359,0.5223,0.8904,1.3100,1.6153,1.9804,0.2051,0.8736,1.7582,0.0273,0.2627,
0.5971,0.5985,0.9385,1.2948,1.6774,2.0432,0.2854,0.7894,1.7789,6.2476,0.3258,
