1, 0.2596, 03, 18
2, 0.2867, 04, 34
1, 0.3825, 03, 20
1, 0.2766, 03, 23
1, 0.3493, 03, 16
2, 0.2688, 04, 35
1, 0.3513, 03, 17
2, 0.2796, 07, 16
1, 0.2855, 03, 19
2, 0.2984, 04, 30
3, 0.2876, 02, 42
4, 0.3823, 03, 19
1, 0.3158, 03, 25
2, 0.2654, 04, 36
3, 0.2688, 02, 35
4, 0.2642, 03, 16
5, 0.2833, 02, 17
6, 0.2718, 03, 04
7, 0.2611, 03, 50
8, 0.2473, 02, 37
9, 0.2529, 03, 33
10, 0.2449, 03, 12
11, 0.2536, 04, 06
12, 0.2384, 01, 48
13, 0.2480, 03, 17
14, 0.2500, 03, 12
15, 0.2534, 02, 59
16, 0.2438, 02, 51
17, 0.2525, 01, 37
18, 0.2605, 01, 05
19, 0.2648, 02, 29
20, 0.2494, 01, 49
21, 0.2970, 01, 18
22, 0.2546, 01, 53
23, 0.2658, 02, 15
24, 0.2504, 01, 41
25, 0.2447, 01, 27
26, 0.2615, 01, 41
27, 0.2384, 01, 27
28, 0.2430, 02, 06
29, 0.2551, 01, 29
30, 0.2498, 01, 08
31, 0.2468, 02, 06
32, 0.2325, 01, 47
33, 0.2502, 03, 42
34, 0.2388, 02, 25
35, 0.2593, 03, 36
36, 0.2588, 03, 17
37, 0.2383, 04, 04
38, 0.2470, 04, 53
39, 0.2520, 03, 10
40, 0.2423, 04, 27
41, 0.2446, 04, 29
42, 0.2411, 02, 51
43, 0.2526, 05, 52
44, 0.2480, 02, 20
45, 0.2329, 03, 37
46, 0.2343, 02, 45
47, 0.2564, 03, 11
48, 0.2370, 03, 12
49, 0.2400, 02, 23
50, 0.2446, 01, 47
51, 0.2624, 01, 37
52, 0.2564, 04, 54
53, 0.2564, 02, 45
54, 0.2493, 02, 43
55, 0.2339, 01, 51
56, 0.2476, 02, 10
57, 0.2625, 02, 41
58, 0.2540, 02, 01
59, 0.2407, 01, 59
60, 0.2428, 02, 20
61, 0.2284, 01, 58
62, 0.2477, 04, 51
63, 0.2488, 02, 15
64, 0.2422, 01, 51
65, 0.2546, 02, 31
66, 0.2491, 06, 02
67, 0.2337, 02, 53
68, 0.2447, 03, 46
69, 0.2388, 03, 21
70, 0.2444, 03, 32
71, 0.2453, 03, 30
72, 0.2356, 03, 54
73, 0.2398, 03, 31
74, 0.2378, 03, 11
75, 0.2450, 02, 54
76, 0.2395, 04, 50
77, 0.2341, 02, 45
78, 0.2447, 03, 59
79, 0.2489, 03, 29
80, 0.2390, 05, 08
81, 0.2469, 02, 07
82, 0.2394, 02, 00
83, 0.2673, 02, 34
84, 0.2518, 02, 22
85, 0.2459, 02, 11
86, 0.2478, 02, 38
87, 0.2390, 02, 23
88, 0.2345, 03, 04
89, 0.2481, 02, 42
90, 0.2619, 01, 45
91, 0.2498, 02, 31
92, 0.2252, 01, 17
93, 0.2556, 02, 40
94, 0.2505, 02, 06
95, 0.2440, 02, 46
96, 0.2476, 01, 49
97, 0.2528, 04, 30
98, 0.2714, 02, 37
99, 0.2557, 03, 53
100, 0.2589, 04, 26
101, 0.2450, 03, 02
102, 0.2372, 02, 38
103, 0.2400, 03, 28
104, 0.2389, 02, 24
105, 0.2444, 03, 11
106, 0.2400, 03, 23
107, 0.2337, 02, 50
108, 0.2404, 03, 49
109, 0.2315, 02, 04
110, 0.2448, 04, 08
111, 0.2463, 05, 00
