4.707360,4.480649,1.186718,2.418944,0.315817,6.007829,0.079584,4.586731,3.859660,2.214322,4.237523,5.549944,1.978640,1.000287,1.091596,2.522485,0.067999,2.741650,0.117231,5.839465,1.519160,2.225381,
4.714090,4.468941,1.189662,2.408550,0.304007,6.018503,0.064554,4.599970,3.854368,2.185898,4.264797,5.579484,2.006899,1.025615,1.121038,2.551711,0.038519,2.771260,0.087960,5.810301,1.489385,2.195585,
4.720960,4.454194,1.193300,2.392109,0.285597,6.024848,0.057385,4.619396,3.851647,2.159096,4.291080,5.607327,2.035587,1.052729,1.150056,2.581173,0.008899,2.800876,0.058444,5.781657,1.459855,2.167736,
4.730874,4.437032,1.202550,2.378759,0.269051,6.030575,0.054151,4.639724,3.842796,2.131978,4.318583,5.634269,2.061145,1.076503,1.175820,2.610575,-0.020579,2.830587,0.028798,5.755737,1.432465,2.141337,
4.741685,4.418327,1.207318,2.369307,0.256901,6.026993,0.057995,4.658744,3.832870,2.104757,4.343073,5.656308,2.066497,1.089830,1.171839,2.640319,-0.050346,2.856444,0.000786,5.734476,1.417836,2.114170,
4.752341,4.400786,1.207115,2.359860,0.245160,6.026482,0.059256,4.663353,3.816721,2.079282,4.368913,5.672510,2.061072,1.097722,1.165618,2.669555,-0.079564,2.880357,-0.025745,5.715213,1.403529,2.087119,
4.761438,4.382913,1.207859,2.353438,0.236446,6.021333,0.064083,4.654003,3.819203,2.075872,4.375809,5.669257,2.046165,1.086528,1.154342,2.698268,-0.108148,2.904607,-0.051775,5.698819,1.392719,2.059451,
4.770476,4.362880,1.200480,2.347847,0.228497,6.014597,0.069605,4.642648,3.824411,2.073271,4.388322,5.664799,2.034681,1.072140,1.152868,2.723109,-0.133082,2.919399,-0.069573,5.682616,1.379648,2.034968,
4.777515,4.341851,1.191634,2.344427,0.223092,6.011083,0.074905,4.626435,3.835883,2.082784,4.387308,5.650233,2.017015,1.052740,1.139446,2.749477,-0.159415,2.938922,-0.090717,5.674411,1.381638,2.008777,
4.785717,4.322440,1.178934,2.338488,0.215109,6.008314,0.078627,4.606650,3.852129,2.098549,4.379543,5.630875,1.995592,1.030142,1.122401,2.775293,-0.184892,2.959276,-0.110777,5.669748,1.388395,1.981572,
4.791667,4.302049,1.162747,2.336621,0.210823,6.001590,0.086297,4.585212,3.868308,2.115627,4.372695,5.610134,1.973043,1.007478,1.105326,2.800047,-0.209283,2.980327,-0.130746,5.666227,1.395647,1.955745,
4.795855,4.279801,1.143600,2.334301,0.205514,5.991385,0.097384,4.562184,3.886730,2.133848,4.365380,5.588221,1.949573,0.984029,1.088223,2.823652,-0.232481,3.001674,-0.150546,5.663878,1.403430,1.930837,
4.799250,4.257152,1.124335,2.329350,0.197451,5.980976,0.108209,4.537858,3.898815,2.147261,4.364781,5.571268,1.930364,0.970361,1.077500,2.844986,-0.254364,3.018396,-0.168699,5.659222,1.404665,1.906765,
4.800639,4.232957,1.103835,2.323001,0.185951,5.968459,0.122092,4.511863,3.902199,2.145328,4.372151,5.568427,1.921443,0.951317,1.080987,2.860420,-0.271604,3.021119,-0.181145,5.650091,1.397616,1.882818,
4.801392,4.209083,1.083605,2.320270,0.178129,5.956581,0.134320,4.486554,3.902644,2.144318,4.379789,5.564932,1.912563,0.934238,1.083962,2.876386,-0.289401,3.025635,-0.195715,5.642341,1.391097,1.860066,
4.800578,4.183951,1.061296,2.317458,0.169723,5.942166,0.149064,4.461704,3.904709,2.144071,4.387592,5.560811,1.903446,0.918003,1.087127,2.890532,-0.305216,3.029177,-0.209309,5.635242,1.385195,1.839586,
4.797085,4.158252,1.037104,2.311658,0.157111,5.923787,0.167728,4.436136,3.908362,2.146073,4.395107,5.553282,1.891019,0.901007,1.088030,2.907344,-0.323534,3.037056,-0.227171,5.630703,1.380594,1.820704,
4.792702,4.131810,1.011684,2.308210,0.146271,5.904549,0.186490,4.411046,3.909240,2.148609,4.404529,5.545217,1.878439,0.885814,1.088722,2.926153,-0.344010,3.047421,-0.248683,5.627977,1.376103,1.804973,
4.784257,4.103948,0.984844,2.303009,0.131934,5.883415,0.206398,4.384115,3.915391,2.156172,4.409615,5.530907,1.860361,0.866563,1.084662,2.948431,-0.367557,3.064128,-0.273085,5.628743,1.374366,1.796560,
4.773310,4.075044,0.956730,2.297446,0.116025,5.860534,0.227993,4.356923,3.922991,2.165091,4.413695,5.514899,1.840893,0.847048,1.079690,2.971381,-0.391661,3.082439,-0.298541,5.630866,1.373703,1.791015,
4.761366,4.046573,0.928521,2.292038,0.099919,5.837172,0.250104,4.331115,3.928772,2.174837,4.418129,5.497547,1.820212,0.827246,1.073838,2.994950,-0.416179,3.102220,-0.324423,5.634076,1.373855,1.788714,
4.749225,4.018535,0.901039,2.288009,0.084939,5.813915,0.272365,4.306610,3.933519,2.184373,4.422276,5.480394,1.799951,0.808408,1.067813,3.021321,-0.443363,3.123746,-0.352274,5.641425,1.369845,1.791134,
4.735558,3.990742,0.873820,2.284236,0.069755,5.790541,0.294620,4.282965,3.937769,2.193865,4.426050,5.463073,1.779651,0.790009,1.061585,3.048194,-0.471200,3.146154,-0.380415,5.650017,1.364909,1.795261,
4.723127,3.964852,0.848842,2.283113,0.057936,5.768696,0.315056,4.260995,3.941304,2.201558,4.429816,5.448583,1.761881,0.774022,1.056993,3.069395,-0.494639,3.159136,-0.407272,5.657450,1.358803,1.801589,
